Date,Energy Required (MU),Energy Met (MU),Energy +/- (MU),Genco Thermal,Genco Hydel,Genco Total,CGS and Purchases,IPPS (GAS),NCEs & Others,AP Share of TGISTS,Grand Total,Reversible Pump Consumption,Unrestricted Peak Demand (MW),Deficit/Surplus (MW)
02-May-2012,255.639,241.185,-14.454,103.643,5.276,108.919,77.106,42.752,12.408,0.000,241.185,0.000,12099,-1000
03-May-2012,258.470,243.370,-15.100,106.255,3.748,110.003,79.273,41.374,12.720,0.000,243.370,0.000,12219,-1500
04-May-2012,261.393,247.449,-13.944,106.153,6.527,112.680,82.753,39.385,12.631,0.000,247.449,0.000,11693,-1000
05-May-2012,252.866,237.919,-14.947,95.295,5.334,100.629,85.987,39.256,12.047,0.000,237.919,0.000,11636,-1000
06-May-2012,250.566,236.528,-14.038,95.862,4.494,100.356,86.762,38.017,11.393,0.000,236.528,0.000,11133,-700
07-May-2012,258.248,236.157,-22.091,97.358,5.867,103.225,83.502,37.397,12.033,0.000,236.157,0.000,11475,-900
08-May-2012,263.541,242.967,-20.574,101.951,6.609,108.560,84.904,37.426,12.077,0.000,242.967,0.000,11403,-1000
09-May-2012,266.493,248.327,-18.166,106.344,4.334,110.678,81.923,43.587,12.139,0.000,248.327,0.000,11481,-800
10-May-2012,254.416,236.666,-17.750,101.765,3.633,105.398,74.886,43.818,12.564,0.000,236.666,0.000,11354,-1000
11-May-2012,254.027,236.816,-17.211,100.465,5.820,106.285,79.030,38.853,12.648,0.000,236.816,0.000,11360,-1100
12-May-2012,256.962,238.865,-18.097,97.571,4.516,102.087,84.858,39.270,12.650,0.000,238.865,0.000,11084,-700
13-May-2012,238.803,225.786,-13.017,93.234,4.644,97.878,78.650,37.319,11.939,0.000,225.786,0.000,10908,-800
14-May-2012,262.773,241.248,-21.525,102.997,5.581,108.578,82.480,38.389,11.801,0.000,241.248,0.000,11574,-1000
15-May-2012,263.833,243.112,-20.721,103.931,3.997,107.928,83.011,39.863,12.310,0.000,243.112,0.000,11484,-1000
16-May-2012,259.041,239.140,-19.901,103.633,5.056,108.689,79.335,38.775,12.341,0.000,239.140,0.000,11554,-1000
17-May-2012,264.371,246.022,-18.349,106.606,5.559,112.165,80.212,41.066,12.579,0.000,246.022,0.000,11822,-1000
18-May-2012,267.596,246.477,-21.119,104.914,6.428,111.342,81.785,40.698,12.652,0.000,246.477,0.000,11890,-1200
19-May-2012,262.897,233.510,-29.387,105.854,6.348,112.202,76.120,32.372,12.816,0.000,233.510,0.000,11479,-1000
20-May-2012,258.687,229.435,-29.252,99.525,5.299,104.824,82.240,29.654,12.717,0.000,229.435,0.000,11617,-1600
21-May-2012,271.894,234.723,-37.171,95.382,6.856,102.238,90.629,29.621,12.235,0.000,234.723,0.000,12294,-2000
22-May-2012,279.686,243.195,-36.491,103.762,6.915,110.677,88.322,32.559,11.637,0.000,243.195,0.000,12148,-1800
23-May-2012,276.753,243.188,-33.565,102.741,6.633,109.374,87.720,34.581,11.513,0.000,243.188,0.000,11689,-1300
24-May-2012,274.711,247.281,-27.430,104.656,5.860,110.516,88.649,36.782,11.334,0.000,247.281,0.000,11857,-1300
25-May-2012,271.717,244.050,-27.667,105.424,5.932,111.356,84.720,36.437,11.537,0.000,244.050,0.000,11407,-1000
26-May-2012,268.904,238.141,-30.763,103.239,6.750,109.989,85.017,31.005,12.130,0.000,238.141,0.000,11546,-1300
27-May-2012,260.872,239.711,-21.161,103.611,6.831,110.442,87.600,29.126,12.543,0.000,239.711,0.000,11669,-1500
28-May-2012,267.995,239.307,-28.688,104.048,7.299,111.347,86.570,29.003,12.387,0.000,239.307,0.000,11832,-1500
29-May-2012,273.322,244.963,-28.359,104.977,6.176,111.153,87.704,33.765,12.341,0.000,244.963,0.000,12707,-2000
30-May-2012,275.958,243.124,-32.834,100.572,7.899,108.471,86.660,36.311,11.682,0.000,243.124,0.000,11871,-1400
31-May-2012,274.938,236.113,-38.825,105.766,6.538,112.304,80.883,31.641,11.285,0.000,236.113,0.000,11816,-1500
01-Jun-2012,274.570,225.473,-49.097,103.168,5.354,108.522,77.256,29.753,9.942,0.000,225.473,0.000,11439,-2000
02-Jun-2012,270.430,225.921,-44.509,103.972,4.705,108.677,76.097,30.539,10.608,0.000,225.921,0.000,12123,-2000
03-Jun-2012,271.587,232.139,-39.448,105.476,4.350,109.826,77.176,33.995,11.142,0.000,232.139,0.000,11275,-1300
04-Jun-2012,271.410,232.346,-39.064,107.299,5.331,112.630,78.410,29.490,11.816,0.000,232.346,0.000,11685,-1500
05-Jun-2012,275.584,233.667,-41.917,104.600,5.521,110.121,79.599,32.077,11.870,0.000,233.667,0.000,12277,-2000
